City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,96.04,107.96,3.8,20.07,23.46,31.668027196003866,3.8,62.42,46.61,7.54,13.44,1.65,324.0,Very Poor
Ahmedabad,77.69,107.96,5.24,18.87,23.06,31.119628147386255,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor
Ahmedabad,53.07,107.96,4.17,13.82,17.45,28.871887185032907,4.17,40.36,21.76,4.47,6.94,0.42,169.0,Moderate
Ahmedabad,63.11,107.96,5.63,15.5,18.49,30.410541321127134,5.63,38.21,4.72,5.2,8.17,0.73,220.0,Poor
Ahmedabad,156.76,107.96,3.92,16.7,20.97,33.92007600173629,3.92,26.32,37.11,3.88,10.78,0.97,280.8422625575055,Poor
Ahmedabad,120.96,107.96,4.23,20.86,25.02,33.565885251354345,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor
Ahmedabad,138.63,107.96,5.65,25.47,30.67,36.62054222591167,5.65,87.43,29.77,11.25,24.67,3.12,314.0,Very Poor
Ahmedabad,144.36,107.96,15.82,30.69,46.1,46.415689331190634,15.82,66.39,27.34,17.22,49.56,7.71,378.0,Very Poor
Ahmedabad,85.03,107.96,3.3,26.7,27.41,30.055638775287925,3.3,59.16,35.89,7.58,29.19,4.08,415.0,Severe
Ahmedabad,134.6,107.96,5.9,26.27,28.7,29.956979185065908,5.9,34.53,7.0,0.0,0.0,0.0,283.99726818507975,Poor
Ahmedabad,61.06,107.96,3.52,14.03,17.59,25.11025486899794,3.52,8.08,19.54,0.0,0.0,0.01,126.0,Moderate
Ahmedabad,39.42,107.96,5.28,19.56,24.66,25.74182851394638,5.28,17.66,31.3,0.0,0.0,0.0,175.0,Moderate
Ahmedabad,111.86,107.96,3.89,22.51,25.17,28.163225083198522,3.89,15.84,31.23,0.0,0.0,0.0,226.0,Poor
Ahmedabad,58.37,107.96,5.74,21.71,27.69,16.976402701139236,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor
Ahmedabad,95.37,107.96,18.01,26.23,44.34,0.0,18.01,13.59,41.64,1.21,3.28,20.78,315.0,Very Poor
Ahmedabad,141.3,107.96,30.8,36.88,66.53,0.0,30.8,41.06,37.66,0.66,0.01,28.13,678.0,Severe
Ahmedabad,106.68,107.96,19.91,46.38,54.77,0.0,19.91,31.56,48.49,1.67,0.0,15.95,774.0,Severe
Ahmedabad,109.48,107.96,4.3,20.27,22.86,9.616346645915211,4.3,46.6,31.34,0.05,0.0,6.19,285.0,Poor
Ahmedabad,126.04,107.96,6.99,20.18,26.78,11.032927983481613,6.99,79.56,28.71,0.2,0.0,6.4,321.0,Very Poor
Ahmedabad,71.22,107.96,16.73,21.32,37.58,28.646269555871196,16.73,50.09,28.39,1.38,23.54,6.09,358.0,Very Poor
Ahmedabad,97.87,107.96,6.3,17.96,23.45,23.154447812097587,6.3,13.85,34.16,0.21,4.91,2.95,357.0,Very Poor
Ahmedabad,63.38,107.96,3.44,13.28,15.44,21.995848281271932,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate
Ahmedabad,75.29,107.96,3.35,14.29,17.97,18.384252872554757,3.35,76.05,60.71,0.0,0.01,2.27,235.1067060578494,Poor
Ahmedabad,80.9,107.96,5.7,18.62,24.23,16.472119670392892,5.7,65.44,22.8,0.05,0.09,3.46,214.0,Poor
Ahmedabad,103.29,107.96,4.55,19.82,23.69,19.050857877376924,4.55,85.42,22.18,0.06,1.17,2.58,253.0,Poor
Ahmedabad,107.5,107.96,5.29,15.56,19.73,18.504926245106006,5.29,74.37,10.12,0.09,0.16,2.91,239.0,Poor
Ahmedabad,161.14,107.96,3.11,14.77,16.12,28.8907044710788,3.11,118.35,59.73,0.0,2.55,0.0,351.91254650027565,Very Poor
Ahmedabad,102.58,107.96,3.88,12.74,16.82,27.04929508094323,3.88,41.94,26.89,0.02,6.4,0.76,234.77588383938573,Poor
Ahmedabad,138.42,107.96,5.05,16.7,21.56,22.9463829761282,5.05,77.74,27.18,0.01,0.88,2.01,300.0,Poor
Ahmedabad,129.04,107.96,5.69,14.86,19.66,23.849143376914952,5.69,78.27,18.67,0.0,0.0,1.54,317.0,Very Poor
Ahmedabad,96.65,107.96,4.67,15.9,20.53,17.678033100098737,4.67,39.41,11.83,0.01,0.0,3.11,240.0,Poor
Ahmedabad,126.77,107.96,15.69,23.93,39.73,7.837798836807693,15.69,93.18,36.71,0.22,0.04,10.0,344.0,Very Poor
Ahmedabad,106.15,107.96,13.12,23.02,35.05,7.842112506564121,13.12,65.95,81.6,0.3,0.02,9.69,503.0,Severe
Ahmedabad,86.31,107.96,2.69,10.5,10.9,0.0,2.69,50.13,90.54,0.47,0.15,12.8,308.0,Very Poor
Ahmedabad,83.99,107.96,2.73,0.08,2.75,0.38192295599220927,2.73,34.06,69.57,0.28,0.05,8.97,227.0,Poor
Ahmedabad,65.11,107.96,3.14,4.58,6.75,8.19600508076577,3.14,22.27,32.26,0.17,0.04,5.84,120.0,Moderate
Ahmedabad,51.03,107.96,6.24,20.47,26.2,23.45773083039943,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate
Ahmedabad,38.73,107.96,8.0,19.28,26.61,21.784095795064474,8.0,20.13,25.7,0.0,0.0,2.08,177.0,Moderate
Ahmedabad,61.12,107.96,9.94,17.82,27.18,19.837933946131844,9.94,39.69,25.9,0.0,0.0,3.49,201.0,Poor
Ahmedabad,58.44,107.96,10.68,17.24,27.38,25.81481850014281,10.68,54.69,18.89,0.0,0.0,1.39,211.0,Poor
Ahmedabad,61.49,107.96,11.44,16.69,27.61,23.42943885124469,11.44,42.66,18.2,0.01,0.0,2.59,221.0,Poor
Ahmedabad,65.39,107.96,12.3,16.08,27.86,25.740303679242885,12.3,27.96,22.35,0.0,0.0,2.29,233.0,Poor
Ahmedabad,100.92,107.96,20.42,18.9,37.83,27.899525859053966,20.42,31.9,22.84,4.9,19.26,8.21,481.0,Severe
Ahmedabad,97.48,107.96,5.31,30.02,33.62,37.16217968011708,5.31,36.05,16.26,10.6,34.91,3.85,352.0,Very Poor
Ahmedabad,129.27,107.96,14.28,28.33,41.92,49.8592160081577,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor
Ahmedabad,129.58,107.96,21.23,28.79,45.4,57.72946832254987,21.23,17.66,34.42,20.53,85.73,11.56,577.0,Severe
Ahmedabad,100.57,107.96,7.56,18.79,24.33,36.18481763519279,7.56,38.76,38.83,4.92,17.94,1.54,411.0,Severe
Ahmedabad,130.34,107.96,7.14,17.43,23.72,35.63656795781886,7.14,52.07,29.05,5.05,14.0,1.3,212.0,Poor
Ahmedabad,53.24,107.96,8.05,15.86,23.34,34.26741205539702,8.05,36.23,21.58,5.23,15.0,1.02,280.0,Poor
Ahmedabad,42.0,107.96,10.44,18.16,21.8,30.785237408932975,10.44,17.0,25.5,0.0,0.0,0.0,162.0,Moderate
Ahmedabad,50.1,107.96,9.46,14.9,22.5,25.870324484674317,9.46,30.67,12.91,0.41,1.89,1.44,234.1375467389722,Poor
Ahmedabad,83.69,107.96,10.89,17.18,27.15,0.0,10.89,41.12,35.61,12.62,20.2,17.84,569.0,Severe
Ahmedabad,38.88,107.96,2.18,16.28,17.74,8.4465840097516,2.18,26.4,12.47,3.0,6.96,6.37,128.0,Moderate
Ahmedabad,46.89,107.96,2.96,16.17,18.49,18.27814246761528,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate
Ahmedabad,70.96,107.96,4.12,15.47,19.28,19.381347955383323,4.12,23.67,16.01,3.72,8.13,4.06,152.0,Moderate
Ahmedabad,53.66,107.96,4.23,14.43,18.06,19.8482050716394,4.23,14.46,45.64,2.39,6.4,3.53,176.0,Moderate
Ahmedabad,45.49,107.96,4.26,13.73,17.1,20.727299522590727,4.26,12.85,71.85,2.5,5.96,3.36,167.0,Moderate
Ahmedabad,60.86,107.96,5.27,16.61,21.42,13.681221793540056,5.27,14.91,41.19,3.03,9.18,6.54,106.0,Moderate
Ahmedabad,51.93,107.96,13.71,17.87,31.64,13.849705960063696,13.71,15.33,12.88,6.32,19.17,10.57,231.0,Poor
Ahmedabad,77.87,107.96,6.67,17.12,23.0,19.60804972696619,6.67,46.82,16.67,4.79,9.78,5.1,327.0,Very Poor
Ahmedabad,57.59,107.96,5.6,15.47,20.42,21.27283729234177,5.6,41.68,25.51,2.64,6.3,3.08,174.0,Moderate
Ahmedabad,77.22,107.96,7.02,15.47,21.13,29.264999195820298,7.02,71.97,9.56,3.74,8.45,1.17,185.0,Moderate
Ahmedabad,45.29,107.96,7.25,12.74,19.66,29.193648600348837,7.25,18.64,6.32,2.73,6.99,0.76,179.0,Moderate
Ahmedabad,103.78,107.96,6.36,13.9,19.86,28.2023017316454,6.36,7.76,15.27,0.82,1.37,0.81,211.0,Poor
Ahmedabad,25.14,107.96,6.01,18.73,24.74,25.31282181229894,6.01,38.05,38.52,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,87.03,107.96,8.05,17.88,25.53,30.69852109259543,8.05,23.84,48.22,0.0,0.0,0.0,310.0,Very Poor
Ahmedabad,89.6,107.96,6.59,19.84,25.9,28.827583331912514,6.59,48.05,44.78,0.0,0.0,0.0,223.0,Poor
Ahmedabad,80.69,107.96,6.86,16.07,22.25,28.499930015209138,6.86,39.85,32.65,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,44.75,107.96,7.76,16.53,24.29,27.589855848986822,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate
Ahmedabad,38.11,107.96,7.41,11.62,19.03,28.880827694387932,7.41,3.13,6.69,2.5,5.93,0.74,184.0,Moderate
Ahmedabad,45.5,107.96,8.56,15.59,24.15,29.701961788615307,8.56,0.76,3.82,5.09,8.52,1.82,220.0,Poor
Ahmedabad,36.98,107.96,8.21,11.52,19.74,29.410857840518805,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor
Ahmedabad,43.58,107.96,8.26,13.33,21.58,28.76197988769427,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor
Ahmedabad,45.49,107.96,9.63,14.91,24.53,30.83097531123714,9.63,0.81,2.94,3.67,6.62,1.17,251.0,Poor
Ahmedabad,38.06,107.96,8.67,18.57,27.25,29.86244767522497,8.67,1.05,4.63,2.85,5.12,0.74,216.0,Poor
Ahmedabad,45.41,107.96,9.35,20.55,29.9,31.387391650039753,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor
Ahmedabad,37.71,107.96,8.54,16.26,24.8,30.327449308269365,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
Ahmedabad,32.37,107.96,7.53,14.36,21.89,29.47870421057084,7.53,2.17,12.17,1.88,7.92,0.69,195.0,Moderate
Ahmedabad,34.74,107.96,7.59,13.51,21.11,29.490522980070338,7.59,4.11,12.22,1.82,6.19,0.47,187.0,Moderate
Ahmedabad,32.56,107.96,7.34,13.91,21.25,29.417331073677186,7.34,4.04,11.85,2.55,9.3,0.97,181.0,Moderate
Ahmedabad,29.28,107.96,7.55,11.68,19.23,28.98591860708347,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate
Ahmedabad,20.46,107.96,7.15,10.61,17.76,28.082171639450102,7.15,5.62,12.7,1.26,5.17,0.32,188.0,Moderate
Ahmedabad,26.07,107.96,7.99,11.07,19.06,28.98504019346608,7.99,4.1,10.57,1.5,6.9,0.63,190.0,Moderate
Ahmedabad,21.43,107.96,7.45,11.16,18.62,27.661734618942095,7.45,4.99,7.38,1.4,6.69,0.76,185.0,Moderate
Ahmedabad,11.91,107.96,7.34,10.1,17.44,29.15247763969279,7.34,10.86,5.47,1.3,12.23,0.73,189.0,Moderate
Ahmedabad,57.75,107.96,8.68,9.68,18.36,30.43200251168845,8.68,12.28,3.06,1.98,6.51,0.74,196.0,Moderate
Ahmedabad,66.39,107.96,8.58,12.79,21.36,31.086283861317934,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor
Ahmedabad,62.61,107.96,9.15,9.83,18.98,31.751333818999388,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
Ahmedabad,47.5,107.96,8.07,9.53,17.59,29.89542291572583,8.07,13.91,7.28,1.34,3.97,0.12,196.0,Moderate
Ahmedabad,111.8,107.96,9.23,11.51,20.74,34.66935033834789,9.23,5.27,5.99,1.84,5.69,0.28,220.0,Poor
Ahmedabad,30.0,107.96,8.87,13.59,22.64,29.997314334669674,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor
Ahmedabad,4.66,107.96,9.01,10.9,20.36,28.694646557893115,9.01,7.31,6.38,1.27,3.94,0.13,223.0,Poor
Ahmedabad,48.72,107.96,9.56,11.94,21.5,31.313629565625668,9.56,5.72,6.61,1.77,4.96,0.39,230.0,Poor
Ahmedabad,49.7,107.96,9.43,9.81,19.23,31.51228463425391,9.43,6.78,6.42,2.0,4.79,0.31,243.0,Poor
Ahmedabad,48.1,107.96,8.03,9.53,17.57,30.236644491040046,8.03,9.33,7.6,1.68,4.41,0.18,215.0,Poor
Ahmedabad,47.43,107.96,8.11,9.45,17.56,30.374532843822415,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate
Ahmedabad,51.74,107.96,8.91,12.38,21.28,30.813599211032496,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate
Ahmedabad,42.68,107.96,9.74,11.08,20.82,30.87666679980817,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
Ahmedabad,38.45,107.96,10.55,7.8,18.35,31.72139078835308,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor
Ahmedabad,46.69,107.96,11.48,0.17,11.64,33.095825698504946,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
Ahmedabad,55.27,107.96,11.55,0.12,11.66,33.19550912117103,11.55,12.7,6.55,1.69,4.17,0.22,223.0,Poor
Ahmedabad,149.03,107.96,11.49,0.16,11.65,38.401616929689936,11.49,10.07,7.27,1.71,5.72,0.19,248.0,Poor
Ahmedabad,86.57,107.96,11.47,0.17,11.64,34.827998641598896,11.47,11.09,6.53,1.57,3.85,0.09,300.0,Poor
Ahmedabad,111.77,107.96,11.3,0.24,11.53,36.07459841123965,11.3,7.73,4.67,1.72,4.52,0.16,232.0,Poor
Ahmedabad,151.4,107.96,10.8,0.36,11.16,36.79461730233905,10.8,7.8,5.46,0.95,3.54,0.12,330.0,Very Poor
Ahmedabad,51.35,107.96,8.0,2.69,10.67,29.648450311380905,8.0,10.0,5.76,1.54,4.32,0.35,223.0,Poor
Ahmedabad,65.37,107.96,0.64,8.07,8.57,24.256944302687803,0.64,16.31,8.02,1.63,4.34,0.28,105.0,Moderate
Ahmedabad,56.28,107.96,0.6,8.02,8.51,23.32345935119552,0.6,18.93,6.2,1.52,3.74,0.29,101.0,Moderate
Ahmedabad,48.17,107.96,0.65,8.0,8.55,23.750902780578244,0.65,18.99,7.97,1.23,4.74,0.12,93.0,Satisfactory
